Numero objet,Tour de Diffusion
0,11
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,11
1,11
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,11
1,11
2,12
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,11
1,11
2,12
3,11
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,11
1,11
2,12
3,11
4,12
----------------------------end---------------------------- 
Numero objet,Tour de Diffusion
0,11
1,11
2,12
3,12
4,11
5,12
----------------------------end---------------------------- 
