Numero objet,global,energie depense recep,energie depense trans,Tour de Diffusion
1,global,3,1,0
2,global,6,2,0
3,global,3,1,0
4,global,3,1,0
5,global,3,1,0
6,global,3,1,0
7,global,6,2,2
8,global,3,1,0
9,global,3,1,0
10,global,6,2,0
11,global,3,1,0
12,global,3,1,0
13,global,3,1,0
----------------------------end---------------------------- 
14,global,3,1,0
Numero objet,global,energie depense recep,energie depense trans,Tour de Diffusion
1,global,6,2,0
2,global,6,2,0
3,global,3,1,0
4,global,3,1,0
5,global,3,1,0
6,global,3,1,0
7,global,6,2,2
8,global,3,1,0
9,global,3,1,0
10,global,6,2,2
11,global,3,1,0
12,global,3,1,0
13,global,3,1,0
----------------------------end---------------------------- 
14,global,3,1,0
Numero objet,global,energie depense recep,energie depense trans,Tour de Diffusion
1,global,6,2,0
2,global,6,2,0
3,global,3,1,2
4,global,3,1,0
5,global,3,1,0
6,global,0,0,0
7,global,6,2,2
8,global,3,1,0
9,global,3,1,0
10,global,6,2,2
11,global,6,2,0
12,global,6,2,0
13,global,3,1,0
----------------------------end---------------------------- 
14,global,3,1,0
Numero objet,global,energie depense recep,energie depense trans,Tour de Diffusion
1,global,6,2,0
2,global,6,2,0
3,global,3,1,2
4,global,3,1,0
5,global,3,1,0
6,global,0,0,0
7,global,6,2,2
8,global,3,1,0
9,global,3,1,2
10,global,6,2,2
11,global,6,2,0
12,global,6,2,0
13,global,3,1,0
----------------------------end---------------------------- 
14,global,3,1,0
Numero objet,global,energie depense recep,energie depense trans,Tour de Diffusion
1,global,6,2,0
2,global,6,2,0
3,global,6,2,2
4,global,3,1,0
5,global,3,1,0
6,global,0,0,0
7,global,6,2,2
8,global,6,2,0
9,global,3,1,2
10,global,6,2,2
11,global,6,2,0
12,global,6,2,0
13,global,3,1,0
----------------------------end---------------------------- 
14,global,6,2,2
Numero objet,global,energie depense recep,energie depense trans,Tour de Diffusion
1,global,6,2,0
2,global,6,2,2
3,global,6,2,2
4,global,3,1,0
5,global,3,1,0
6,global,0,0,0
7,global,6,2,2
8,global,6,2,0
9,global,3,1,2
10,global,6,2,2
11,global,6,2,0
12,global,6,2,0
13,global,3,1,0
----------------------------end---------------------------- 
14,global,6,2,2
Numero objet,global,energie depense recep,energie depense trans,Tour de Diffusion
1,global,6,2,0
2,global,6,2,2
3,global,6,2,2
4,global,3,1,0
5,global,0,0,0
6,global,0,0,0
7,global,6,2,2
8,global,6,2,0
9,global,3,1,2
10,global,6,2,2
11,global,6,2,0
12,global,6,2,2
13,global,6,2,0
----------------------------end---------------------------- 
14,global,6,2,2
Numero objet,global,energie depense recep,energie depense trans,Tour de Diffusion
1,global,6,2,0
2,global,6,2,2
3,global,6,2,2
4,global,6,2,0
5,global,0,0,0
6,global,0,0,0
7,global,6,2,2
8,global,6,2,0
9,global,3,1,2
10,global,6,2,2
11,global,6,2,2
12,global,6,2,2
13,global,6,2,0
----------------------------end---------------------------- 
14,global,6,2,2
Numero objet,global,energie depense recep,energie depense trans,Tour de Diffusion
1,global,6,2,2
2,global,6,2,2
3,global,6,2,2
4,global,6,2,0
5,global,0,0,0
6,global,0,0,0
7,global,6,2,2
8,global,6,2,0
9,global,6,2,2
10,global,6,2,2
11,global,6,2,2
12,global,6,2,2
13,global,6,2,0
----------------------------end---------------------------- 
14,global,6,2,2
